,,Bad Days,Bad Days,Bad Days,Bad Days,Bad Days,Bad Days,Bad Days,Bad Days
Sex,Location,count,mean,std,min,25%,50%,75%,max
Female,Alabama,1,6.1,,6.1,6.1,6.1,6.1,6.1
Female,Alaska,1,4.6,,4.6,4.6,4.6,4.6,4.6
Female,Arizona,1,4.9,,4.9,4.9,4.9,4.9,4.9
Female,Arkansas,1,6.5,,6.5,6.5,6.5,6.5,6.5
Female,California,1,4.2,,4.2,4.2,4.2,4.2,4.2
Female,Colorado,1,4.4,,4.4,4.4,4.4,4.4,4.4
Female,Connecticut,1,4.2,,4.2,4.2,4.2,4.2,4.2
Female,Delaware,1,5,,5,5,5,5,5
Female,District of Columbia,1,4.8,,4.8,4.8,4.8,4.8,4.8
Female,Florida,1,5,,5,5,5,5,5
Female,Georgia,1,5.2,,5.2,5.2,5.2,5.2,5.2
Female,Guam,1,4.8,,4.8,4.8,4.8,4.8,4.8
Female,Hawaii,1,3.8,,3.8,3.8,3.8,3.8,3.8
Female,Idaho,1,4.9,,4.9,4.9,4.9,4.9,4.9
Female,Illinois,1,4.6,,4.6,4.6,4.6,4.6,4.6
Female,Indiana,1,5.6,,5.6,5.6,5.6,5.6,5.6
Female,Iowa,1,4.7,,4.7,4.7,4.7,4.7,4.7
Female,Kansas,1,5.2,,5.2,5.2,5.2,5.2,5.2
Female,Kentucky,1,6.1,,6.1,6.1,6.1,6.1,6.1
Female,Louisiana,1,6.1,,6.1,6.1,6.1,6.1,6.1
Female,Maine,1,4.8,,4.8,4.8,4.8,4.8,4.8
Female,Maryland,1,4.3,,4.3,4.3,4.3,4.3,4.3
Female,Massachusetts,1,4.7,,4.7,4.7,4.7,4.7,4.7
Female,Michigan,1,5.8,,5.8,5.8,5.8,5.8,5.8
Female,Minnesota,1,4.4,,4.4,4.4,4.4,4.4,4.4
Female,Mississippi,1,5.8,,5.8,5.8,5.8,5.8,5.8
Female,Missouri,1,5.4,,5.4,5.4,5.4,5.4,5.4
Female,Montana,1,5.2,,5.2,5.2,5.2,5.2,5.2
Female,Nebraska,1,4.5,,4.5,4.5,4.5,4.5,4.5
Female,Nevada,1,5.4,,5.4,5.4,5.4,5.4,5.4
Female,New Hampshire,1,5.1,,5.1,5.1,5.1,5.1,5.1
Female,New Mexico,1,5.3,,5.3,5.3,5.3,5.3,5.3
Female,New York,1,4.2,,4.2,4.2,4.2,4.2,4.2
Female,North Carolina,1,4.9,,4.9,4.9,4.9,4.9,4.9
Female,North Dakota,1,4.5,,4.5,4.5,4.5,4.5,4.5
Female,Ohio,1,5.6,,5.6,5.6,5.6,5.6,5.6
Female,Oklahoma,1,5.8,,5.8,5.8,5.8,5.8,5.8
Female,Oregon,1,5.1,,5.1,5.1,5.1,5.1,5.1
Female,Pennsylvania,1,5.2,,5.2,5.2,5.2,5.2,5.2
Female,Puerto Rico,1,3.6,,3.6,3.6,3.6,3.6,3.6
Female,Rhode Island,1,4.9,,4.9,4.9,4.9,4.9,4.9
Female,South Carolina,1,5.3,,5.3,5.3,5.3,5.3,5.3
Female,South Dakota,1,4.2,,4.2,4.2,4.2,4.2,4.2
Female,Tennessee,1,5.9,,5.9,5.9,5.9,5.9,5.9
Female,Texas,1,4.5,,4.5,4.5,4.5,4.5,4.5
Female,United States,1,4.9,,4.9,4.9,4.9,4.9,4.9
Female,Utah,1,5.5,,5.5,5.5,5.5,5.5,5.5
Female,Vermont,1,4.9,,4.9,4.9,4.9,4.9,4.9
Female,Virginia,1,4.6,,4.6,4.6,4.6,4.6,4.6
Female,Washington,1,5.1,,5.1,5.1,5.1,5.1,5.1
Female,West Virginia,1,6.8,,6.8,6.8,6.8,6.8,6.8
Female,Wisconsin,1,4.6,,4.6,4.6,4.6,4.6,4.6
Female,Wyoming,1,4.7,,4.7,4.7,4.7,4.7,4.7